timestamp,raw
2023-01-01T00:00:00.0,0.0
2023-01-01T06:00:00.0,0.13177020531698136
2023-01-01T12:00:00.0,0.2874962902258491
2023-01-01T18:00:00.0,
2023-01-02T00:00:00.0,0.509414034808629
2023-01-02T06:00:00.0,
2023-01-02T12:00:00.0,
2023-01-02T18:00:00.0,0.9635305611514753
2023-01-03T00:00:00.0,
2023-01-03T06:00:00.0,
2023-01-03T12:00:00.0,
2023-01-03T18:00:00.0,
2023-01-04T00:00:00.0,1.113362487463395
2023-01-04T06:00:00.0,0.9641553769616639
2023-01-04T12:00:00.0,0.8250717118617018
2023-01-04T18:00:00.0,0.9111070155381097
2023-01-05T00:00:00.0,
2023-01-05T06:00:00.0,
2023-01-05T12:00:00.0,
2023-01-05T18:00:00.0,
2023-01-06T00:00:00.0,0.4749496402130705
2023-01-06T06:00:00.0,
2023-01-06T12:00:00.0,
2023-01-06T18:00:00.0,0.15362337932863337
2023-01-07T00:00:00.0,
2023-01-07T06:00:00.0,-0.12262009619701632
2023-01-07T12:00:00.0,-0.2344064799765264
2023-01-07T18:00:00.0,-0.40880827168838485
2023-01-08T00:00:00.0,
2023-01-08T06:00:00.0,
2023-01-08T12:00:00.0,-0.7585666697156515
2023-01-08T18:00:00.0,-0.7641201494307354
2023-01-09T00:00:00.0,-0.8565215467688932
2023-01-09T06:00:00.0,-1.0849393460855676
2023-01-09T12:00:00.0,-0.9287352592755824
2023-01-09T18:00:00.0,-1.0133538603449739
2023-01-10T00:00:00.0,
2023-01-10T06:00:00.0,-1.0867568397958645
2023-01-10T12:00:00.0,-0.6547383564195446
2023-01-10T18:00:00.0,-0.7168159247248944
2023-01-11T00:00:00.0,-0.5954010374803209
2023-01-11T06:00:00.0,-0.7992273829654697
2023-01-11T12:00:00.0,
2023-01-11T18:00:00.0,-0.5863479722738105
2023-01-12T00:00:00.0,-0.49740079176294294
2023-01-12T06:00:00.0,-0.4160610950254591
2023-01-12T12:00:00.0,-0.41371779121944297
2023-01-12T18:00:00.0,-0.12737877013995907
2023-01-13T00:00:00.0,-2.0394474056629788e-16
