DateTime,Ethylene,Ethane,Hydrogen
2020/01/01 00:00,0.094847475,2.824195924,0.107086839
2020/01/01 06:00,0.106695391,3.105880258,0.096251326
2020/01/02 00:00,0.102286352,2.930281896,0.092709887
2020/01/02 06:00,0.106366777,2.937360623,0.099469173
2020/01/03 00:00,0.10739573,3.079427009,0.107948161
2020/01/03 06:00,0.107216832,2.681132673,0.096722099
2020/01/04 00:00,0.108440593,3.147213457,0.09484186
2020/01/04 06:00,0.095783328,2.941535492,0.09831654
2020/01/05 00:00,0.096754576,2.859088923,0.101727602
2020/01/05 06:00,0.103450933,3.152374747,0.105715784
2020/01/06 00:00,0.103721975,3.165819875,0.108245492
2020/01/06 06:00,0.109647132,2.715473397,0.098381232
2020/01/07 00:00,0.097842428,2.974938255,0.097679239
2020/01/07 06:00,0.094613655,2.745158433,0.092714496
2020/01/08 00:00,0.105486247,3.046699336,0.102787767
2020/01/08 06:00,0.097740302,3.088488562,0.102170201
2020/01/09 00:00,0.109665602,3.150692658,0.099799808
2020/01/09 06:00,0.101942625,3.048766159,0.105441331
2020/01/10 00:00,0.097207081,2.850987559,0.098853211
2020/01/10 06:00,0.096770733,2.773339542,0.109027659
2020/01/11 00:00,0.109821635,2.941705012,0.090958608
2020/01/11 06:00,0.098911185,2.750565883,0.106860639
2020/01/12 00:00,0.106685906,2.89196396,0.093979461
2020/01/12 06:00,0.092178675,2.838049488,0.108714181
2020/01/13 00:00,0.09246444,3.08225984,0.104577241
2020/01/13 06:00,0.107521724,2.942532641,0.091441559
2020/01/14 00:00,0.105880929,2.76768405,0.100651375
