Timestamp,Ethylene,Ethane,Hydrogen,Nitrogen,Argon
2020/01/01 00:00,0,29.46052588,2.109328689,0,0
2020/01/01 06:00,0,0,2.149709846,0,0
2020/01/02 00:00,0,32.96965861,0,0,0
2020/01/02 06:00,0,30.79312499,2.13562413,0,0
2020/01/03 00:00,0,28.7420967,1.878194229,0,0
2020/01/03 06:00,0,29.99448437,5.859394274,0,0
2020/01/04 00:00,0,30.62240675,0,0,0
2020/01/04 06:00,0,0,1.875108074,0,0
2020/01/05 00:00,0,28.70889332,2.094182971,0,0
2020/01/05 06:00,0,0,1.933395209,0,0
2020/01/06 00:00,0,27.58967138,0,0,0
2020/01/06 06:00,0,31.60015712,2.15421118,0,0
2020/01/07 00:00,0.050644202,27.67299191,2.189758938,0,0
2020/01/07 06:00,0.000279106,30.4578664,1.867107346,0,0
2020/01/08 00:00,0,25.36731713,0,0,0
2020/01/08 06:00,0,0,2.191306523,0,0
2020/01/09 00:00,0,29.74742432,4.823418944,0,0
2020/01/09 06:00,0.000793446,0,2.137063215,0,0
2020/01/10 00:00,0,32.75716203,0,0,0
2020/01/10 06:00,0,33.4682934,1.902319307,0,0
2020/01/11 00:00,0,26.42788044,2.038880939,0,0
2020/01/11 06:00,0,30.07139798,2.082914697,0,0
2020/01/12 00:00,0,30.81481296,0,0,0
2020/01/12 06:00,0,0,2.015633024,0,0
2020/01/13 00:00,0,30.10903111,0,0,0
2020/01/13 06:00,0,30.68926708,1.92535823,0,0
2020/01/14 00:00,0,31.76586527,2.013426469,0,0
